No.,Timestamp,Berat
229,06:43:07:832,19.74
230,06:43:08:020,19.84
231,06:43:08:207,19.84
232,06:43:08:410,19.94
233,06:43:08:597,20.04
234,06:43:08:784,19.94
235,06:43:08:987,20.14
236,06:43:09:174,20.34
237,06:43:09:361,20.24
238,06:43:09:564,20.24
239,06:43:09:751,20.44
240,06:43:09:938,20.54
241,06:43:10:126,20.54
242,06:43:10:328,20.44
243,06:43:10:516,20.64
244,06:43:10:703,20.64
245,06:43:10:906,20.84
246,06:43:11:093,20.94
247,06:43:11:280,20.84
248,06:43:11:483,21.04
249,06:43:11:670,21.14
250,06:43:11:857,21.14
251,06:43:12:060,21.24
252,06:43:12:247,21.24
253,06:43:12:434,21.34
254,06:43:12:637,21.44
255,06:43:12:824,21.54
256,06:43:13:012,21.54
257,06:43:13:199,21.54
258,06:43:13:402,21.54
259,06:43:13:589,21.84
260,06:43:13:776,21.84
261,06:43:13:979,21.84
262,06:43:14:166,21.94
263,06:43:14:353,21.94
264,06:43:14:556,22.04
265,06:43:14:743,22.04
266,06:43:14:930,22.24
267,06:43:15:133,22.34
268,06:43:15:320,22.24
269,06:43:15:508,22.44
270,06:43:15:710,22.44
271,06:43:15:898,22.54
272,06:43:16:085,22.64
273,06:43:16:288,22.64
274,06:43:16:475,22.74
275,06:43:16:662,22.84
276,06:43:16:865,22.74
277,06:43:17:052,22.74
278,06:43:17:239,22.84
279,06:43:17:442,22.84
280,06:43:17:629,23.04
281,06:43:17:816,23.14
282,06:43:18:004,23.04
283,06:43:18:206,23.24
284,06:43:18:394,23.24
285,06:43:18:581,23.24
286,06:43:18:784,23.44
287,06:43:18:971,23.34
288,06:43:19:158,23.44
289,06:43:19:361,23.54
290,06:43:19:548,23.54
291,06:43:19:735,23.64
292,06:43:19:938,23.74
293,06:43:20:125,23.74
294,06:43:20:312,23.74
295,06:43:20:515,23.74
296,06:43:20:702,23.84
297,06:43:20:890,23.84
298,06:43:21:092,23.94
299,06:43:21:280,24.14
300,06:43:21:467,24.14
301,06:43:21:654,24.24
302,06:43:21:857,24.24
303,06:43:22:044,24.14
304,06:43:22:231,24.34
305,06:43:22:434,24.44
306,06:43:22:621,24.44
307,06:43:22:808,24.44
308,06:43:23:011,24.54
309,06:43:23:198,24.54
310,06:43:23:386,24.54
311,06:43:23:588,24.64
312,06:43:23:776,24.74
313,06:43:23:963,24.94
314,06:43:24:166,24.94
315,06:43:24:353,25.04
316,06:43:24:540,24.94
317,06:43:24:743,25.04
318,06:43:24:930,24.94
319,06:43:25:117,24.84
320,06:43:25:320,24.84
321,06:43:25:507,24.84
322,06:43:25:694,24.94
323,06:43:25:882,24.94
324,06:43:26:084,24.84
325,06:43:26:272,24.94
326,06:43:26:459,24.94
327,06:43:26:693,24.94
328,06:43:26:849,25.04
329,06:43:27:036,25.14
330,06:43:27:239,25.04
331,06:43:27:426,25.14
332,06:43:27:613,25.24
333,06:43:27:816,25.24
334,06:43:28:003,25.14
335,06:43:28:190,25.34
336,06:43:28:393,25.44
337,06:43:28:580,25.54
338,06:43:28:768,25.54
339,06:43:28:970,25.64
340,06:43:29:158,25.84
341,06:43:29:345,25.14
342,06:43:29:532,24.34
343,06:43:29:735,24.04
344,06:43:29:922,23.74
345,06:43:30:125,23.54
346,06:43:30:312,23.84
347,06:43:30:499,23.94
348,06:43:30:686,24.04
349,06:43:30:889,24.04
350,06:43:31:076,24.14
351,06:43:31:264,24.04
352,06:43:31:466,23.94
353,06:43:31:654,23.94
354,06:43:31:841,23.94
355,06:43:32:044,23.94
356,06:43:32:231,23.94
357,06:43:32:418,23.84
358,06:43:32:621,23.64
359,06:43:32:808,22.14
360,06:43:32:995,21.14
361,06:43:33:198,21.14
362,06:43:33:385,21.14
363,06:43:33:572,21.24
364,06:43:33:760,21.14
365,06:43:33:962,21.14
366,06:43:34:150,21.24
367,06:43:34:337,21.24
368,06:43:34:540,21.04
369,06:43:34:727,18.94
370,06:43:34:914,15.94
371,06:43:35:117,14.24
372,06:43:35:304,13.94
373,06:43:35:491,14.24
374,06:43:35:694,14.84
375,06:43:35:881,15.24
376,06:43:36:068,15.64
377,06:43:36:271,15.84
378,06:43:36:458,16.14
379,06:43:36:646,16.44
380,06:43:36:848,16.64
381,06:43:37:036,16.74
382,06:43:37:223,16.94
383,06:43:37:426,17.14
384,06:43:37:613,17.54
385,06:43:37:800,17.64
386,06:43:37:987,17.74
387,06:43:38:190,17.94
388,06:43:38:377,18.14
389,06:43:38:564,18.34
390,06:43:38:767,18.04
391,06:43:38:954,15.74
392,06:43:39:142,13.74
393,06:43:39:344,9.63
394,06:43:39:532,2.23
395,06:43:39:719,-5.74
396,06:43:39:922,-15.45
397,06:43:40:109,-25.75
398,06:43:40:296,-36.55
399,06:43:40:499,-47.75
400,06:43:40:686,-58.45
401,06:43:40:873,-68.25
402,06:43:41:076,-78.25
403,06:43:41:263,-88.45
404,06:43:41:450,-98.05
405,06:43:41:638,-106.26
406,06:43:41:840,-116.66
407,06:43:42:028,-125.86
408,06:43:42:215,-133.26
409,06:43:42:418,-137.96
410,06:43:42:605,-142.86
411,06:43:42:792,-146.16
412,06:43:42:995,-141.76
413,06:43:43:182,-133.06
414,06:43:43:369,-125.46
415,06:43:43:572,-118.06
416,06:43:43:759,-111.76
417,06:43:43:946,-118.46
418,06:43:44:149,-114.86
419,06:43:44:336,-104.26
420,06:43:44:524,-91.45
421,06:43:44:726,-83.35
422,06:43:44:914,-75.05
423,06:43:45:101,-66.65
424,06:43:45:304,-58.65
425,06:43:45:491,-55.35
426,06:43:45:678,-58.25
427,06:43:45:865,-67.45
428,06:43:46:068,-79.45
429,06:43:46:255,-89.65
430,06:43:46:442,-99.05
431,06:43:46:645,-107.66
432,06:43:46:832,-115.66
433,06:43:47:020,-122.36
434,06:43:47:222,-127.86
435,06:43:47:410,-132.16
436,06:43:47:597,-135.66
437,06:43:47:800,-138.96
438,06:43:47:987,-141.96
439,06:43:48:174,-144.96
440,06:43:48:377,-147.66
441,06:43:48:564,-148.06
442,06:43:48:751,-146.06
443,06:43:48:954,-147.36
444,06:43:49:141,-149.86
445,06:43:49:328,-152.06
446,06:43:49:531,-153.76
447,06:43:49:718,-153.06
448,06:43:49:906,-155.26
449,06:43:50:108,-159.96
450,06:43:50:296,-165.56
451,06:43:50:483,-171.16
452,06:43:50:686,-176.46
453,06:43:50:873,-180.66
454,06:43:51:060,-182.96
455,06:43:51:247,-183.46
456,06:43:51:450,-183.06
457,06:43:51:637,-184.56
458,06:43:51:824,-191.06
459,06:43:52:027,-227.66
460,06:43:52:214,-393.76
461,06:43:52:402,-368.06
462,06:43:52:604,-283.76
463,06:43:52:792,-279.56
464,06:43:52:979,-278.86
465,06:43:53:182,-277.76
466,06:43:53:369,-270.06
467,06:43:53:556,-264.16
468,06:43:53:759,-261.56
469,06:43:53:946,-254.66
470,06:43:54:133,-248.76
471,06:43:54:336,-133.16
472,06:43:54:523,-92.85
473,06:43:54:710,-90.05
474,06:43:54:898,-74.85
475,06:43:55:100,-63.25
476,06:43:55:288,-54.15
477,06:43:55:475,-47.25
478,06:43:55:678,-42.75
479,06:43:55:865,-39.25
480,06:43:56:052,-36.35
481,06:43:56:255,-33.85
482,06:43:56:442,-31.35
483,06:43:56:629,-29.35
484,06:43:56:832,-27.45
485,06:43:57:019,-25.25
486,06:43:57:206,-23.65
487,06:43:57:409,-22.05
488,06:43:57:596,-19.95
489,06:43:57:784,-18.55
490,06:43:57:986,-17.65
491,06:43:58:174,-16.35
492,06:43:58:361,-15.05
493,06:43:58:564,-14.15
494,06:43:58:751,-13.05
495,06:43:58:938,-12.05
496,06:43:59:141,-11.05
497,06:43:59:328,-10.65
498,06:43:59:515,-9.44
499,06:43:59:718,-9.34
500,06:43:59:905,-10.15
501,06:44:00:092,-10.15
502,06:44:00:280,99.24
503,06:44:00:482,124.05
504,06:44:00:670,15.94
505,06:44:00:857,-21.75
506,06:44:01:060,-21.15
507,06:44:01:247,-24.05
508,06:44:01:434,-24.35
509,06:44:01:637,-21.15
510,06:44:01:824,-18.45
511,06:44:02:011,-15.85
512,06:44:02:214,-13.65
513,06:44:02:401,-11.55
514,06:44:02:588,-10.35
515,06:44:02:791,-9.14
516,06:44:02:978,-8.34
517,06:44:03:166,-7.24
518,06:44:03:368,-6.24
519,06:44:03:556,-5.24
520,06:44:03:743,-4.34
521,06:44:03:946,-4.44
522,06:44:04:133,-4.84
523,06:44:04:320,-4.34
524,06:44:04:523,-3.14
525,06:44:04:710,-2.04
526,06:44:04:897,-1.44
527,06:44:05:084,-0.74
528,06:44:05:287,-0.14
529,06:44:05:474,0.63
